data,tmax_c,tmin_c,precip_mm,eto_mm,fator_agua_solo,par_mol_m2_dia,altura_estimada_cm,altura_min_cm,altura_max_cm,crescimento_diario_cm,crescimento_acumulado_cm
2026-07-01,25.68,12.97,0.11,1.7387466418872626,0.9213165873484412,29.580299999999994,0.23228812825117384,0.16260168977582168,0.301974566726526,0.23228812825117384,0.23228812825117384
2026-07-02,25.35,12.13,0.04,1.7604067573625537,0.8382051497946947,29.808,0.44819939225588856,0.313739574579122,0.5826592099326552,0.21591126400471472,0.44819939225588856
2026-07-03,23.99,13.05,0.33,1.2493934620759768,0.7937900066992368,23.598,0.6347511378064182,0.4443257964644927,0.8251764791483437,0.18655174555052967,0.6347511378064182
2026-07-04,19.38,11.81,0.35,0.8006567845529552,0.7720191475420893,19.7271,0.731464650244914,0.5120252551714398,0.9509040453183882,0.09671351243849574,0.731464650244914
2026-07-05,21.25,10.64,0.07,1.0482316036387913,0.724761582148911,22.107599999999998,0.8440565587567521,0.5908395911297264,1.0972735263837778,0.11259190851183805,0.8440565587567521
2026-07-06,23.49,11.08,0.01,1.5234447079360913,0.6516483112341239,27.779399999999995,1.0098292259979786,0.706880458198585,1.3127779937973723,0.1657726672412265,1.0098292259979786
2026-07-07,21.4,10.87,0.17,0.7674089365332712,0.6227879761358982,15.8562,1.1073678104940012,0.7751574673458008,1.4395781536422017,0.09753858449602257,1.1073678104940012
2026-07-08,22.34,9.08,0.03,1.4068493371640336,0.5562735154033361,26.6823,1.2216208546374498,0.8551345982462148,1.5881071110286848,0.11425304414344856,1.2216208546374498
2026-07-09,23.86,8.1,0.05,1.8577712460489137,0.4689415711497654,31.3191,1.3481397827395607,0.9436978479176924,1.7525817175614289,0.12651892810211077,1.3481397827395607
2026-07-10,25.74,9.27,0.01,2.0168800444753723,0.3719908443635155,31.029299999999996,1.508953383485098,1.0562673684395687,1.9616393985306275,0.16081360074553747,1.508953383485098
2026-07-11,26.77,11.34,0.3,1.9744415778088653,0.2910999468848263,30.5532,1.6962703297016946,1.1873892307911862,2.205151428612203,0.18731694621659656,1.6962703297016946
2026-07-12,23.27,11.58,10.36,0.8889510813109066,0.7486385419905798,16.5186,1.8446749657908108,1.2912724760535674,2.398077455528054,0.14840463608911633,1.8446749657908108
2026-07-13,17.18,8.78,0.15,0.8570041730000338,0.7144837510243945,21.735,1.87683205243333,1.3137824367033308,2.439881668163329,0.03215708664251906,1.87683205243333
2026-07-14,18.74,8.77,0.16,1.133152409737398,0.6674715573172738,25.895699999999998,1.9385523353660925,1.3569866347562647,2.5201180359759205,0.06172028293276261,1.9385523353660925
2026-07-15,23.12,8.2,0.02,1.8460901650574657,0.5792546411309228,32.498999999999995,2.0752352158504452,1.4526646510953116,2.697805780605579,0.13668288048435273,2.0752352158504452
2026-07-16,24.9,7.88,0.0,2.0359215433722433,0.48090094338347145,32.788799999999995,2.2334537427694787,1.563417619938635,2.9034898656003225,0.1582185269190336,2.2334537427694787
2026-07-17,24.15,8.89,0.0,1.956012588710206,0.38640758161003147,33.409800000000004,2.3895400823835447,1.6726780576684812,3.1064021070986083,0.15608633961406607,2.3895400823835447
2026-07-18,23.99,10.33,0.01,1.8798264823018833,0.2960777998563173,33.4512,2.55464093692121,1.788248655844847,3.3210332179975732,0.16510085453766538,2.55464093692121
2026-07-19,25.18,10.25,0.01,2.0224134283132247,0.19885975984118562,33.534,2.715451395930718,1.9008159771515023,3.530086814709933,0.16081045900950794,2.715451395930718
2026-07-20,26.14,11.45,0.01,2.0440892794266343,0.10059457726018875,33.2235,2.868092975779051,2.0076650830453358,3.7285208685127667,0.1526415798483335,2.868092975779051
2026-07-21,27.06,11.32,0.0,2.1360610808206575,0.0,33.202799999999996,2.971529915886261,2.0800709411203826,3.8629888906521392,0.10343694010720982,2.971529915886261
2026-07-22,26.47,11.57,0.77,2.031784149634302,0.0,32.3334,3.0835997443412855,2.1585198210388996,4.008679667643671,0.11206982845502456,3.0835997443412855
2026-07-23,22.7,13.01,1.67,0.916541867993732,0.03639894357518204,18.733500000000003,3.2021373169552394,2.2414961218686673,4.162778512041811,0.11853757261395406,3.2021373169552394
2026-07-24,18.4,11.87,2.74,0.16405887524566978,0.16084054380485988,4.4091,3.2701907490238042,2.2891335243166626,4.251247973730946,0.06805343206856498,3.2701907490238042
2026-07-25,20.75,11.72,0.21,0.8004415915433709,0.13231679542112212,17.9469,3.3888385304127437,2.3721869712889205,4.405490089536567,0.1186477813889393,3.3888385304127437
2026-07-26,26.08,11.09,0.05,2.0789619260482617,0.03429931107096452,33.5547,3.5515452361140554,2.4860816652798388,4.617008806948272,0.16270670570131163,3.5515452361140554
2026-07-27,27.51,12.96,0.0,2.173152344619903,0.0,33.575399999999995,3.7422468549661456,2.6195727984763018,4.8649209114559895,0.19070161885209025,3.7422468549661456
2026-07-28,27.94,12.49,0.02,2.304511834328781,0.0,34.3413,3.9525276235134235,2.7667693364593964,5.1382859105674505,0.21028076854727795,3.9525276235134235
2026-07-29,29.8,13.56,0.82,0.7712767816655894,0.0023537786634980932,11.1159,4.228051715702253,2.959636200991577,5.496467230412929,0.27552409218882956,4.228051715702253
2026-07-30,24.7,12.4,0.09,1.697170173399004,0.0,30.035699999999995,4.430231743535281,3.1011622204746967,5.759301266595866,0.20218002783302824,4.430231743535281
2026-07-31,26.07,13.07,0.04,2.031891577594392,0.0,35.086499999999994,4.6804179715158005,3.2762925800610603,6.084543362970541,0.25018622798051915,4.6804179715158005
